Página,Producto,Precio_Oferta,Link
1,Redmi Buds 8 Lite Blue Azul,32.68,https://www.mercadolibre.com.ec/redmi-buds-8-lite-blue-azul/p/MEC64849826?pdp_filters=deal%3AMEC1008444-1#polycard_client=offers&deal_print_id=4f2c92ae-aa40-42ba-9982-52195ec4113a&position=1&tracking_id=d297f6d3-456e-411d-bd4b-fff7dae3ce6d&wid=MEC765908786&sid=offers
1,Teclado Mecánico Single Light E-yooso Z11 Switch Azúl,24.59,https://articulo.mercadolibre.com.ec/MEC-567987154-teclado-mecanico-single-light-e-yooso-z11-switch-azul-_JM?searchVariation=182016833173#polycard_client=offers&deal_print_id=4f2c92ae-aa40-42ba-9982-52195ec4113a&position=2&tracking_id=d297f6d3-456e-411d-bd4b-fff7dae3ce6d
1,Nutrex Isofit Proteína Aislada Banana Foster 5lb Banana Foster,113.71,https://www.mercadolibre.com.ec/nutrex-isofit-proteina-aislada-banana-foster-5lb/up/MECU2803581541?pdp_filters=deal%3AMEC1008444-1#polycard_client=offers&deal_print_id=4f2c92ae-aa40-42ba-9982-52195ec4113a&position=3&tracking_id=d297f6d3-456e-411d-bd4b-fff7dae3ce6d&wid=MEC591474642&sid=offers
1,Tcl Barra De Sonido S45h Negro Dobly Atmos Hdmi Negro,84.28,https://www.mercadolibre.com.ec/tcl-barra-de-sonido-s45h-negro-dobly-atmos-hdmi/up/MECU3724564377?pdp_filters=deal%3AMEC1008444-1#polycard_client=offers&deal_print_id=4f2c92ae-aa40-42ba-9982-52195ec4113a&position=4&tracking_id=d297f6d3-456e-411d-bd4b-fff7dae3ce6d&wid=MEC751517512&sid=offers
1,Cojin Ortopedico Asiento Memory Foam Hemorroides Coxis,45.1,https://www.mercadolibre.com.ec/cojin-ortopedico-asiento-memory-foam-hemorroides-coxis/up/MECU2434246779?pdp_filters=deal%3AMEC1008444-1#polycard_client=offers&deal_print_id=4f2c92ae-aa40-42ba-9982-52195ec4113a&position=5&tracking_id=d297f6d3-456e-411d-bd4b-fff7dae3ce6d&wid=MEC553150600&sid=offers
1,Beyblade Combo 4 Beyblade 2 Lanzador 1 Estadio Juguetes,42.0,https://www.mercadolibre.com.ec/beyblade-combo-4-beyblade-2-lanzador-1-estadio-juguetes/up/MECU2438629576?pdp_filters=deal%3AMEC1008444-1#polycard_client=offers&deal_print_id=4f2c92ae-aa40-42ba-9982-52195ec4113a&position=6&tracking_id=d297f6d3-456e-411d-bd4b-fff7dae3ce6d&wid=MEC513997480&sid=offers
1,Cámara Monitor Nexxt Para Bebé Mickey Mouse Disney Circuit S Negro,25.11,https://www.mercadolibre.com.ec/camara-monitor-nexxt-para-bebe-mickey-mouse-disney-circuit-s/up/MECU3326116269?pdp_filters=deal%3AMEC1008444-1#polycard_client=offers&deal_print_id=4f2c92ae-aa40-42ba-9982-52195ec4113a&position=7&tracking_id=d297f6d3-456e-411d-bd4b-fff7dae3ce6d&wid=MEC656006516&sid=offers
1,Kit De 4 Bandas Elásticas Ejercicio Liga De Resistencia Negro/morado/rojo/amarillo,20.49,https://www.mercadolibre.com.ec/kit-de-4-bandas-elasticas-ejercicio-liga-de-resistencia/up/MECU3226085445?pdp_filters=deal%3AMEC1008444-1#polycard_client=offers&deal_print_id=4f2c92ae-aa40-42ba-9982-52195ec4113a&position=8&tracking_id=d297f6d3-456e-411d-bd4b-fff7dae3ce6d&wid=MEC627263624&sid=offers
1,Estuche Protector Antichoque Armor Junshi Para Honor 400 Pro Negro Junshi,16.14,https://www.mercadolibre.com.ec/estuche-protector-antichoque-armor-junshi-para-honor-400-pro/up/MECU3803871439?pdp_filters=deal%3AMEC1008444-1#polycard_client=offers&deal_print_id=4f2c92ae-aa40-42ba-9982-52195ec4113a&position=9&tracking_id=d297f6d3-456e-411d-bd4b-fff7dae3ce6d&wid=MEC770276536&sid=offers
1,Plantillas Aumento De Estatura Hasta 9cm Con Cámara,9.6,https://articulo.mercadolibre.com.ec/MEC-534847972-plantillas-aumento-de-estatura-hasta-9cm-con-camara-_JM?searchVariation=177765849089#polycard_client=offers&deal_print_id=4f2c92ae-aa40-42ba-9982-52195ec4113a&position=10&tracking_id=d297f6d3-456e-411d-bd4b-fff7dae3ce6d
